Time;Temp Winding;Mvar;MW
21/01/2025 14.17;69,98779297;36,12732697;124,6228943
21/01/2025 14.18;70,04441833;35,04722977;125,7166901
21/01/2025 14.19;70,01467133;34,51214981;124,6135788
21/01/2025 14.20;70,05060577;33,72145462;124,9328842
21/01/2025 14.21;70,08547211;34,63074875;125,108696
21/01/2025 14.22;70,07183838;34,84050751;124,7395096
21/01/2025 14.23;70,06351471;32,02889252;124,9052734
21/01/2025 14.24;70,01574707;35,19900131;125,3773651
21/01/2025 14.25;70,09311676;34,5410347;125,8348465
21/01/2025 14.26;70,15607452;31,02300835;125,0786667
21/01/2025 14.27;70,07823181;35,64592361;125,7493668
21/01/2025 14.28;70,05046082;32,71412659;124,6209412
21/01/2025 14.29;70,12068176;33,4928093;120,1444626
21/01/2025 14.30;70,0989151;31,99534607;119,5684662
21/01/2025 14.31;70,09194183;32,76091385;119,0021133
21/01/2025 14.32;69,95993805;32,08134079;120,1638947
21/01/2025 14.33;69,84127045;33,1657486;121,2614594
21/01/2025 14.34;69,77889252;33,72750473;124,2723541
21/01/2025 14.35;69,74359131;34,4344101;124,5914612
21/01/2025 14.36;69,71602631;33,9329567;125,1236191
21/01/2025 14.37;69,70838165;35,48667145;124,9475555
21/01/2025 14.38;69,70886993;30,71136665;125,0808868
21/01/2025 14.39;69,75746918;32,0536232;125,5658722
21/01/2025 14.40;69,79243469;33,50372314;125,1020355
21/01/2025 14.41;69,8196106;33,43484497;125,655983
21/01/2025 14.42;69,83480835;34,60486603;125,7611465
21/01/2025 14.43;69,8832016;33,62537003;125,5841293
21/01/2025 14.44;69,8764267;31,98549652;126,0256958
21/01/2025 14.45;69,96081543;33,90729904;124,9858246
21/01/2025 14.46;69,95298004;33,92631531;125,5786209
21/01/2025 14.47;69,93145752;32,61007309;125,2082825
21/01/2025 14.48;69,93894958;34,66661453;125,5351105
21/01/2025 14.49;69,98779297;32,38564301;125,9802322
21/01/2025 14.50;69,93894958;31,21560669;123,243248
21/01/2025 14.51;70,03662872;34,98746109;126,2424698
21/01/2025 14.52;70,00152588;35,37609863;125,3193283
21/01/2025 14.53;69,95223999;34,93385315;125,5264282
21/01/2025 14.54;70,05741882;34,46396255;125,5592651
21/01/2025 14.55;70,00162506;31,22499275;125,2676773
21/01/2025 14.56;70,02304077;31,18121529;122,686676
21/01/2025 14.57;70,05716705;33,15867233;124,6192245
21/01/2025 14.58;70,05802917;31,99573708;125,2298813
